Feature,Point-Biserial Correlation
Danceability,-0.014821447802994546
Energy,-0.01654828865289545
Loudness,-0.004624764534821112
Speechiness,-0.007910333573744877
Acousticness,-0.006659020722902186
Instrumentalness,-0.017073205996983542
Liveness,-0.017539099786850483
Valence,-0.019599736875880597
Tempo,-0.0054189439948741005
Duration_min,-0.012924172747815193
Views,-0.00712952059240728
Likes,-0.0038291530426064514
Comments,0.0003131561946026198
Stream,0.011248522783940153
EnergyLiveness,0.0007221858713326746
Cluster,0.9999999999999946
