,Point-Biserial Correlation
Artist,-5.982070204032315e-05
Track,-0.010034398370900068
Album,-0.004102731403427203
Album_type,0.058282567494534504
Danceability,-0.03741726875330326
Energy,-0.005200384055176853
Loudness,-0.0018753366811957778
Speechiness,0.014532120774319451
Acousticness,0.00961236660063169
Instrumentalness,-0.00797096001652547
Liveness,0.011067493161959286
Valence,-0.023173407658095807
Tempo,0.000630379537450345
Duration_min,0.03039589619077593
Title,0.029126249051897524
Channel,-0.017851358713405485
Views,-0.007890393238761053
Likes,-0.005658085109637417
Comments,-0.0038929514529968436
Licensed,-0.018548088513511217
official_video,-0.02547810066946765
Stream,-0.003007162182990534
EnergyLiveness,-0.012999458230145675
most_playedon,-0.020715424507055817
DBSCAN_Cluster,1.0
PCA1,-0.02249192781978208
PCA2,-0.005558808952788331
DBSCAN_Cluster_Selected,1.0
PCA1_Selected,-0.023863606573990042
PCA2_Selected,-0.006119249567483439
DBSCAN_Cluster_Original,1.0
PCA1_Original,-0.04752163477271268
PCA2_Original,-0.014549917058170662
DBSCAN_Cluster_Feature_Engineered,1.0
PCA1_Feature_Engineered,-0.04752163477271268
PCA2_Feature_Engineered,-0.014549917058170662
