Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Views,Likes,Comments,Stream,EnergyLiveness,Album_type_compilation,Album_type_single,Licensed_False,Licensed_True,official_video_False,official_video_True,most_playedon_Youtube,Artist,Track,Album,Channel,Cluster
0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,3.7106666666666666,Gorillaz - Feel Good Inc. (Official Video),693555221.0,6220896.0,169907.0,1040234854.0,1.1500815660685155,0.0,0.0,0.0,1.0,0.0,1.0,0.0,686.0,4982.0,2637.0,1997.0,1
0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,3.3362166666666666,Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video),72011645.0,1079128.0,31003.0,310083733.0,15.183585313174945,0.0,0.0,0.0,1.0,0.0,1.0,0.0,686.0,12384.0,7751.0,1997.0,0
0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,3.585833333333333,Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser),8435055.0,282142.0,7399.0,63063467.0,7.956896551724138,0.0,1.0,0.0,1.0,0.0,1.0,0.0,686.0,10329.0,6933.0,1997.0,0
0.689,0.739,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,3.897783333333333,Gorillaz - On Melancholy Hill (Official Video),211754952.0,1788577.0,55229.0,434663559.0,11.546875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,686.0,10894.0,7751.0,1997.0,0
0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,5.682,Gorillaz - Clint Eastwood (Official Video),618480958.0,6197318.0,155930.0,617259738.0,9.94269340974212,0.0,0.0,0.0,1.0,0.0,1.0,1.0,686.0,2897.0,4139.0,1997.0,1
0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,4.083333333333333,Gorillaz - DARE (Official Video),259021161.0,1844658.0,72008.0,323850327.0,2.989932885906041,0.0,0.0,0.0,1.0,0.0,1.0,0.0,686.0,3364.0,2637.0,1997.0,1
0.716,0.897,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,4.5690333333333335,"Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)",451996.0,11686.0,241.0,10666154.0,2.76,0.0,1.0,1.0,0.0,0.0,1.0,0.0,686.0,10330.0,6934.0,1408.0,0
0.726,0.815,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,3.4926666666666666,Gorillaz - She's My Collar [HQ],1010982.0,17675.0,260.0,159605929.0,7.2767857142857135,0.0,0.0,1.0,0.0,1.0,0.0,0.0,686.0,13207.0,4638.0,4548.0,0
0.741,0.913,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,3.5625,Gorillaz - Cracker Island ft. Thundercat (Official Video),24459820.0,739527.0,20296.0,42671901.0,2.809230769230769,0.0,1.0,0.0,1.0,0.0,1.0,0.0,686.0,3204.0,2327.0,1997.0,1
0.625,0.877,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,3.840433333333333,Gorillaz - Dirty Harry (Official Video),154761056.0,1386920.0,39240.0,191074713.0,1.3050595238095235,0.0,0.0,0.0,1.0,0.0,1.0,0.0,686.0,3864.0,2637.0,1997.0,1
0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,5.49555,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],1018811259.0,4394471.0,121452.0,1055738398.0,6.039370078740157,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1549.0,2457.0,1786.0,4309.0,1
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,4.405116666666666,Red Hot Chili Peppers - Under The Bridge [Official Music Video],246687714.0,1213572.0,32761.0,1061750522.0,2.4468085106382977,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1549.0,15928.0,1503.0,4309.0,2
